,x,y,flux,fwhm_mean,snr,have_moon
58,208.30609,837.3746,13.034120890555116,4.1303415,1.6631433745862012,0
59,273.85303,604.9263,11.852349338483508,3.9123163,10.928882900948157,0
60,750.4194,684.72144,12.66297898708456,4.168257,22.695884928455534,0
61,516.2348,391.58585,25.037964046387692,6.404209,7.714478782253067,0
62,232.04329,206.29446,10.136401555049513,3.6652942,16.006770422857283,0
63,656.0219,193.16902,10.901040054881644,3.7938738,5.470569888149117,0
64,343.64087,619.71405,9.446208826211882,3.636728,21.494055598460697,0
65,712.59766,598.37634,9.498194226285898,3.7365441,21.983294786121384,0
66,826.8015,453.17288,9.508171720492262,3.717002,9.065284419680738,0
67,501.6844,389.02673,23.96718524239264,6.5867443,8.240637897023799,0
68,525.4833,86.21731,9.532799165117718,3.8126962,14.158715282428329,0
69,953.25726,394.81876,8.577436325765136,3.5986295,4.137109086154501,0
70,852.3087,777.11096,10.996345271455906,4.196396,8.612312270345397,0
71,749.51196,692.4694,9.801609052785787,4.0538464,7.632728613607359,0
72,231.11096,832.4219,8.67082081539532,3.8010933,12.74266778003092,0
73,541.8758,465.1863,8.93978667560711,5.0470757,-0.17427542225974563,0
74,139.5479,589.372,8.203452643397014,3.7664104,17.526576899016515,0
75,644.5176,443.90384,11.233678043966046,4.625822,6.050893261575099,0
76,247.3763,293.31024,7.344796128740667,3.5166636,4.2629289686180645,0
77,205.54245,223.50545,8.233390646528186,3.8750849,10.427212040999626,0
78,279.82,160.74298,16.014847247930376,5.6185875,12.496746669901167,0
79,940.58075,447.2773,10.0506576037891,4.5243587,4.806354557181123,0
80,1004.2846,380.97394,7.821752377786428,3.9756346,20.89363486762253,0
81,300.93954,324.90897,5.9823249824723295,3.3490067,6.4801194545914464,0
82,362.79623,242.48508,6.510693680904357,3.5873532,25.22422261993557,0
83,305.30746,605.1455,5.831358552993777,3.4343019,8.910023684957523,0
84,264.99146,517.4235,6.4656650959478235,3.612628,14.815794947745582,0
85,672.43445,605.4368,6.821432455383311,3.830984,15.938597326834978,0
86,225.062,496.4095,5.493937345645851,3.3104925,1.5507459005183777,0
87,204.4363,571.7006,7.554973108604375,4.000931,21.89487375358713,0
88,341.35168,409.3614,6.444953583907373,3.7534037,9.048412253676496,0
89,573.5278,889.1029,7.281462598591557,3.927443,12.140956253900804,0
90,512.79156,243.58861,6.545964369565197,3.7071893,13.649369477541454,0
91,746.2537,810.421,6.213566825888612,3.726797,10.437849799361322,0
92,467.385,293.0694,6.54912511109503,3.7887135,15.379602668916679,0
93,405.58054,596.9947,11.55038473799959,5.5341463,0.7510137836775057,0
94,613.7342,331.1936,6.3644673121713575,3.7673354,11.965882383727402,0
95,752.33496,744.1776,7.410078855581755,4.135496,0.5015910613649621,0
96,429.5374,346.22256,7.006343455344764,4.1570787,3.270351306015061,0
97,699.5899,191.54747,7.022254571261807,4.2440834,8.718378611813863,0
98,440.44193,949.409,6.498400526261092,4.040656,0.5856745449515726,0
99,329.45325,70.27305,7.499426575113515,4.2882223,4.907273495460158,0
100,399.78787,855.0089,9.893764107971453,5.1125746,9.556918543680968,0
101,563.23303,368.72418,8.271228588402142,4.8581047,3.1132798494204588,0
102,340.81058,28.388544,6.3111707097548155,3.9361625,17.46609302024474,0
103,100.673615,468.34198,6.130315255791624,3.9277487,7.567972593129217,0
104,603.53107,336.41525,5.716142003102485,3.8371868,10.498195326684929,0
105,802.50104,783.4079,5.99108140830964,4.0382686,0.4195684346668524,0
106,804.87177,165.93326,4.008419434070168,3.1428566,2.242808296555143,0
107,579.46155,401.21634,13.780710155221234,6.9293394,0.7790281508429794,0
108,970.7702,553.47015,5.7377396565772365,3.9742882,7.13760519433296,0
109,671.07007,323.45557,4.030312220797901,3.4411654,10.371626514753347,0
110,674.6189,513.8526,5.538496456374342,4.224459,12.599353640525827,0
111,429.20584,826.45636,5.325815745416276,3.972043,6.102651832329544,0
